Price,Lotsize(m2),Livingspacesize(m2),Buildyear
560000,288,151,20160
425000,159,90,
339500,292,132,19700
345000,320,116,19730
410000,227,138,19760
465000,177,119,19300
2695000,1005,412,19670
285000,194,105,20060
950000,421,183,19980
450000,128,131,20050
375000,110,125,20090
359000,175,97,19840
475000,131,101,20010
325000,120,98,19340
280000,373,92,19370
500000,313,138,19920
1495000,1845,215,19310
395000,118,82,19990
389000,282,135,19740
780000,237,173,20040
300000,206,87,19610
575000,384,215,20070
500000,117,142,20150
395000,136,118,20160
360000,145,114,19810
425000,196,121,20090
595000,194,156,19920
269500,910,169,18850
725000,314,166,20210
500000,2700,101,19360
420000,353,137,19720
445000,164,132,19980
350000,110,125,19940
585000,180,162,20020
485000,157,142,20210
199500,195,55,19850
335000,105,111,
589000,335,167,20040
695000,139,134,19200
625000,318,161,19950
250000,131,97,19530
325000,194,78,19600
265000,134,103,19830
525000,181,117,19430
375000,237,85,19220
390000,154,100,19940
225000,232,99,19210
499000,231,116,19670
225000,116,95,19760
365000,320,185,19730
650000,243,145,20050
350000,125,107,20180
399000,174,140,20050
350000,255,135,19970
785000,420,157,20180
425000,147,106,19920
719000,3718,328,19200
300000,526,100,19920
2175000,2323,330,19600
499000,234,127,19850
345000,117,119,19890
395000,162,115,19760
935000,7785,429,20140
875000,1819,340,18750
1435000,1305,220,19510
419000,128,150,20010
325000,137,117,19870
645000,735,112,20000
598000,1200,218,19150
399000,145,99,19610
539000,312,123,20080
1195000,139,197,19300
425000,325,117,19980
750000,29350,221,19280
365000,240,146,19300
474000,229,118,19770
479500,120,122,20180
475000,304,118,19230
350000,181,115,20030
350000,228,114,19850
475000,282,124,19960
389000,124,132,20180
400000,106,105,19380
400000,1012,90,19580
600000,234,170,19990
410000,222,103,19630
325000,204,101,19840
399000,214,103,19810
695000,372,187,20070
625000,359,180,20020
315000,235,116,19350
450000,162,122,19710
296000,265,95,19260
400000,143,126,19970
875000,7381,356,19630
1049000,636,194,20070
569000,261,133,20120
450000,176,132,19910
559000,418,123,19890
389000,136,110,19870
775000,237,152,19890
395000,123,76,19330
385000,107,93,19290
1395000,2100,253,20200
325000,367,113,19040
325000,154,129,19780
315000,163,132,19730
269500,170,104,19750
550000,384,156,19050
525000,227,167,19900
250000,180,132,19800
385000,157,133,19710
350000,152,105,19590
295000,136,98,19340
295000,343,137,
550000,47,162,20010
439000,113,88,19360
585000,865,176,
350000,138,118,20120
450000,181,124,20100
435000,170,83,19110
695000,1473,180,19750
550000,268,90,19300
615000,186,140,19620
365000,132,101,19280
599000,458,168,19740
385000,239,104,19900
849000,846,300,19020
415000,500,113,19570
569000,175,148,19960
616000,250,162,19680
349000,405,136,19750
435000,116,114,20210
625000,1370,148,19000
200000,141,100,19680
499000,2848,245,18610
475000,209,100,19610
315000,151,131,19730
369000,300,110,19200
497500,398,131,19350
889000,515,190,19920
425000,122,136,19980
650000,475,199,19900
239000,138,112,19820
369000,152,114,19990
990000,365,180,20050
499000,254,112,19940
600000,75,97,19070
675000,165,118,19670
399500,599,125,19890
425000,105,139,19780
600000,182,133,19760
415000,114,125,20180
427500,145,143,19850
235000,176,118,19750
349000,177,126,19790
325000,300,104,19690
650000,270,116,19300
415000,400,129,19780
375000,240,150,19850
2000000,3267,185,20180
680000,175,149,20110
475000,545,129,19940
995000,1171,311,19760
275000,207,117,19750
400000,126,90,18960
629000,552,206,20010
585000,135,145,20110
449000,194,206,19120
549000,440,123,19930
485000,123,115,19770
375000,125,97,19820
359000,129,92,19610
395000,305,131,19710
365000,174,101,19840
700000,140,138,20180
250000,163,121,19540
274500,163,102,19840
250000,145,78,19820
700000,560,142,19310
324500,190,98,19750
375000,162,96,19390
325000,92,97,19970
400000,113,111,19840
395000,260,126,19860
325000,154,90,19620
350000,159,150,19760
430000,203,112,19920
375000,96,87,19430
485000,281,139,19940
675000,393,140,19990
675000,369,178,19780
550000,260,154,20140
565000,154,182,20090
525000,490,125,19820
445000,154,110,19290
369500,134,111,19690
895000,8240,387,17870
495000,222,116,19880
935000,9020,208,20090
1250000,1757,428,19150
750000,554,230,19600
450000,138,121,19800
275000,292,80,19140
279000,148,108,19600
595000,400,175,19820
285000,332,87,19010
685000,762,137,19370
400000,193,125,19790
239500,181,125,19710
450000,231,114,20050
345000,158,98,20110
249000,549,100,19600
325000,113,112,20160
235000,207,95,19660
950000,1145,256,19770
240000,135,96,19680
292500,212,110,19750
450000,223,147,19940
849000,549,172,
350000,347,109,19680
596800,220,151,19320
285000,190,83,19630
295000,210,112,19150
397500,299,142,19840
950000,225,172,19210
725000,318,125,19990
495000,340,129,19920
475000,181,116,19730
850000,10000,197,19690
749000,634,175,19740
525000,264,131,19700
695000,415,109,19350
359000,297,205,19710
320000,144,94,19800
425000,141,135,19940
750000,474,255,19960
339900,135,122,19940
325000,151,122,19760
589000,1023,148,19340
545000,337,111,
1890000,620,242,20010
349000,166,107,20120
335000,360,150,19600
175000,482,102,19600
469000,850,165,19900
580000,112,150,20070
389000,267,155,19960
425000,139,129,19940
375000,144,133,19680
600000,267,159,20080
415000,119,98,20050
235000,135,76,19350
625000,28830,214,19690
475000,6000,214,19690
350000,144,82,
315000,154,126,19770
440000,88,103,20160
595000,430,236,19220
275000,161,104,19860
465000,251,120,19630
325000,232,121,19670
375000,121,96,19350
289500,146,80,19640
297500,143,141,19690
300000,521,116,19710
425000,188,100,19780
365000,195,111,19810
1045000,241,175,19060
355000,150,120,19730
469000,149,129,19340
329000,590,107,19100
395000,367,105,19970
350000,73,90,20210
800000,1097,233,19750
500000,95,165,19700
525000,263,133,20100
369500,464,140,19700
250000,245,92,19310
415000,323,99,19660
550000,535,140,
279000,139,111,19740
325000,261,113,19690
570000,494,210,19590
400000,126,112,19880
395000,130,91,19570
495000,163,100,20090
259500,740,97,19100
325000,189,114,19700
390000,185,117,19720
325000,231,94,19700
450000,156,131,19730
420000,155,124,20150
225000,162,89,19860
875000,310,164,19940
575000,360,101,19410
525000,250,121,19690
400000,111,95,20120
519000,134,135,20020
406000,241,110,19890
885000,955,181,17950
599000,4005,206,19370
375000,159,113,19630
550000,195,94,19250
300000,128,112,19740
1250000,1035,253,19980
375000,360,146,19810
975000,431,209,20080
450000,294,111,19820
450000,291,121,19670
1250000,9680,392,19760
545000,275,158,20000
225000,118,86,19770
650000,255,167,20060
500000,63,90,19300
490000,87,137,20060
525000,225,140,19300
375000,107,101,19380
1190000,2326,214,19750
565000,179,135,20180
495000,235,152,20190
419000,111,106,19900
215000,181,75,19650
1150000,1562,212,19130
375000,571,145,19790
280000,127,78,19340
450000,105,113,19300
425000,205,137,19970
298000,115,117,20140
275000,135,108,19700
275000,146,121,19780
625000,815,139,19200
575000,205,103,
975000,720,247,19900
639000,574,226,19740
1795000,1080,301,19080
425000,124,120,19980
375000,153,118,20000
325000,198,122,19720
750000,985,159,19280
550000,289,151,20070
299000,213,76,19200
400000,150,129,19610
359000,152,107,19590
350000,309,97,19610
379000,132,115,19870
189500,201,112,19660
385000,272,165,19730
395000,100,106,19910
695000,258,156,19870
799000,615,171,19150
400000,101,85,19350
550000,704,182,19260
525000,396,156,19880
199500,153,108,19830
245000,133,75,19580
500000,386,126,19600
425000,254,128,19900
795000,1146,207,20000
550000,199,152,19900
265000,165,111,19630
269500,123,106,19800
500000,560,134,19550
450000,167,117,19830
300000,436,120,19890
269000,141,72,19490
450000,418,142,20020
469000,294,131,19960
400000,175,98,19700
325000,152,97,19730
325000,134,99,19850
285000,205,84,19540
625000,347,158,19970
425000,214,125,19570
299500,199,130,20000
425000,381,120,19550
175000,132,97,19500
679000,127,145,20180
550000,285,147,20010
510000,144,136,19990
550000,615,161,19990
319500,170,114,19760
637000,98,127,20150
478000,141,100,19350
425000,210,127,19620
210000,171,79,19760
300000,97,119,19350
350000,268,156,19940
250000,151,125,19760
425000,179,110,19880
450000,136,141,20010
225000,104,91,19950
600000,156,98,19620
425000,126,111,19600
400000,255,124,19930
350000,139,90,19600
425000,200,145,19900
435000,896,107,19590
425000,189,128,19290
459000,235,139,19890
1200000,562,140,19740
1050000,572,183,19300
450000,236,112,19980
475000,1029,275,19720
278000,121,86,19950
369000,204,120,19840
399000,230,86,19640
545000,247,134,19660
275000,150,93,19750
295000,426,103,18700
440000,184,106,19740
435000,219,116,19990
675000,96,144,20210
565000,918,122,19760
279000,115,81,19650
439000,266,129,19870
595000,1400,276,19790
340000,161,115,19710
1075000,808,189,19850
669000,419,167,
422500,217,126,20020
610000,13500,185,19290
595000,1707,150,19720
525000,497,125,19920
340000,97,88,19730
489000,154,149,19890
550000,163,152,20040
535000,154,148,20080
475000,285,161,19910
450000,4544,112,19390
525000,154,150,19710
1175000,1408,125,19530
500000,137,83,19840
775000,341,161,20090
549000,764,148,19940
880000,1585,317,19780
450000,685,148,19640
595000,1020,205,19550
575000,131,142,20090
250000,137,124,19700
475000,148,109,19660
375000,100,113,19920
525000,261,145,20060
385000,1475,95,19380
699500,382,207,20180
549000,483,176,19970
450000,148,125,19980
279500,250,95,19820
748000,215,175,20100
250000,240,98,19680
450000,196,128,19280
269000,107,85,19960
400000,134,97,19860
475000,1307,184,20030
400000,208,109,19870
340000,146,126,19840
295000,152,116,20010
625000,96,116,19100
550000,172,119,19540
410000,261,120,19780
249500,161,134,19750
419000,195,103,19890
398000,167,103,19870
500000,123,92,19100
675000,234,154,20120
300000,260,153,19190
325000,95,63,19550
539000,850,172,19900
450000,165,116,19650
319000,148,107,19750
595000,1400,200,20120
625000,328,129,19060
425000,629,122,19740
275000,255,103,19600
350000,131,78,19930
200000,100,132,19730
Prijsopaanvraag,568,227,20200
450000,161,91,19520
489000,241,122,19670
375000,187,109,19050
345000,217,89,19640
540000,342,192,20070
330000,250,75,19380
400000,134,117,19800
575000,428,165,20000
469000,257,108,19870
550000,200,148,20020
259000,141,109,20050
365000,141,120,19720
1050000,527,218,19970
259500,139,110,19770
425000,175,106,19570
400000,394,119,19900
487500,181,127,19380
475000,200,125,19870
750000,600,180,20040
415000,142,114,19720
550000,248,140,19790
620000,500,166,19970
350000,148,120,19760
300000,30,73,18000
575000,171,163,19740
525000,351,114,19550
725000,115,110,
375000,249,170,19760
215000,262,88,19570
375000,242,112,19380
875000,205,153,20150
325000,145,99,19780
495000,529,128,19710
1098000,1096,226,18800
285000,235,112,19810
235000,117,103,19810
275000,180,85,19600
775000,473,216,19970
1250000,754,244,20010
265000,295,92,19000
825000,725,125,20040
330000,104,114,19770
685000,326,193,19980
595000,1065,175,19120
425000,176,130,20120
385000,151,100,20200
439000,285,100,19850
489000,401,149,19360
250000,210,80,19260
599000,117,138,19980
1175000,9200,168,19800
725000,228,141,19970
450000,184,141,19870
598000,762,80,19540
700000,253,196,19840
239500,339,149,19150
425000,260,116,19910
450000,126,108,18000
595000,196,122,19850
659000,441,151,19700
500000,245,108,19950
409000,111,131,20170
425000,311,142,19950
698000,779,177,19770
345000,150,121,19810
375000,115,103,19840
179500,81,80,19340
335000,114,110,19770
229500,201,125,19740
400000,397,102,19660
550000,195,131,20200
369000,242,114,19600
525000,191,141,20200
1250000,653,226,18780
450000,295,145,19950
425000,271,197,19570
1550000,705,338,19100
485000,993,172,19350
550000,260,173,20160
725000,157,210,20030
479000,140,121,20160
498000,440,145,19850
569000,218,178,19740
274000,265,136,19720
375000,167,111,19380
475000,680,102,19000
239000,147,106,19600
445000,117,112,19990
249000,127,111,19830
179000,75,57,19100
320000,141,102,19820
375000,125,99,19830
320000,218,97,19630
400000,102,97,19910
795000,245,209,19300
699000,181,153,20080
535000,325,121,19600
575000,143,144,20160
595000,270,131,19770
575000,411,156,19710
439000,272,145,20060
499500,307,130,19950
450000,149,103,19350
525000,912,291,19980
325000,173,116,19870
379000,169,107,19740
495000,321,170,19620
398000,290,126,19860
250000,189,108,19760
435000,351,130,19670
315000,181,129,19740
775000,565,192,19720
675000,413,157,19820
450000,404,135,19740
650000,405,191,19600
180000,143,88,19630
695000,8177,160,18640
550000,405,121,19510
520000,210,116,19890
474500,80,100,19300
535000,240,139,19960
475000,368,211,19790
350000,161,140,19740
750000,265,144,20090
325000,102,74,20160
489000,225,105,19910
449000,625,91,19400
300000,165,100,19830
422500,177,111,19860
298000,157,106,1963
297000,278,103,1983
349000,170,132,1974
399000,305,117,1951
305000,163,115,1913
375000,101,128,1971
445000,169,140,1970
435000,182,121,1995
575000,541,151,2005
965000,1596,281,1996
825000,458,296,2005
500000,169,171,2009
265000,302,127,1972
335000,549,98,1932
235000,118,100,1930
589000,940,161,1937
399000,129,133,2010
825000,199,182,2017
598000,430,147,1974
450000,243,90,1928
699000,532,210,1988
425000,67,77,1902
495000,232,130,2009
300000,127,88,1930
235000,178,88,1964
475000,243,125,1963
320000,237,73,1953
695000,222,142,2016
385000,129,100,1989
425000,251,119,1993
495000,180,141,1974
489000,134,129,2005
339500,155,128,1970
379000,95,113,1925
339000,159,117,1932
400000,115,111,1918
375000,253,120,1983
349000,165,140,1979
400000,243,130,1976
375000,298,102,1961
575000,220,126,1985
289500,179,110,1977
2250000,13220,286,1971
525000,416,177,1993
697500,397,179,1974
395000,985,143,1952
325000,144,95,1995
700000,690,157,1957
499000,195,114,1983
650000,1836,184,1978
2250000,13220,286,1971
469000,134,128,2019
500000,104,115,2012
750000,134,127,1931
310000,158,121,1974
199000,135,95,1977
335000,98,140,2009
275000,165,117,1970
450000,145,121,1977
569000,335,153,2005
549500,140,98,1939
600000,198,140,2018
498000,183,165,2009
375000,128,87,1986
375000,152,100,1976
350000,165,71,1928
500000,364,149,2002
550000,134,104,1936
375000,172,128,1975
550000,150,120,1958
310000,150,100,1983
565000,260,136,2000
839000,873,179,2002
500000,153,118,1975
445000,133,93,2002
515000,232,109,2021
435000,145,154,2017
500000,125,128,2008
425000,156,94,1966
520000,120,128,1904
450000,219,111,1971
375000,143,113,1987
1195000,1880,186,2006
545000,177,144,2001
300000,333,103,1985
237000,200,99,1974
425000,140,101,1984
425000,218,127,1991
450000,214,123,2002
300000,850,142,1910
525000,296,187,2008
347500,218,87,1987
395000,144,120,1973
475000,292,161,1977
475000,128,111,1994
925000,439,125,1914
395000,110,109,1997
375000,162,71,1957
489000,476,164,1994
425000,180,139,1942
350000,369,142,1974
369000,125,90,1928
229000,136,105,1974
540000,105,157,
825000,1705,237,1982
950000,452,203,2019
500000,156,102,1961
800000,200,170,2021
379000,131,110,1985
375000,99,118,1932
450000,267,144,1950
650000,505,198,1987
550000,431,153,1973
419000,148,91,2016
280000,168,118,1988
475000,130,133,1920
250000,202,117,1977
850000,4639,255,
359500,197,136,2004
425000,204,121,2000
1500000,610,223,1974
550000,972,139,1900
500000,400,180,1976
349000,251,153,1980
350000,93,97,1930
459000,173,127,1972
1000000,25445,260,1968
975000,4770,156,1969
567500,613,126,1903
800000,1177,231,1995
350000,145,134,1966
325000,129,103,1934
289000,126,66,1960
335000,177,88,2002
309500,210,104,1982
500000,390,113,2000
435000,116,108,1999
695000,738,219,1940
300000,320,140,1971
425000,283,170,1986
625000,425,170,2004
375000,117,144,2018
500000,272,148,1931
369000,182,113,1967
349000,186,89,1970
625000,512,170,1994
425000,90,84,1996
499000,230,146,2011
395000,100,127,2011
395000,182,128,1962
749000,164,166,1650
465000,298,111,2006
995000,484,205,2002
370000,249,97,1989
725000,932,113,2019
399000,129,103,1991
389000,116,112,2002
250000,199,95,1969
475000,365,168,1975
198000,142,92,1938
885000,272,167,2020
895000,599,264,1989
475000,2165,156,1977
325000,143,103,1992
1375000,432,236,2022
650000,242,151,1993
560000,286,147,1973
318800,103,109,1981
1080000,262,180,2019
315000,495,121,1965
259000,142,118,1986
575000,215,75,1932
550000,224,109,1973
645000,217,154,1991
330000,207,90,1967
245000,199,83,1910
289000,150,108,1981
1650000,690,305,2007
849000,331,177,1927
850000,5872,151,
1175000,880,145,1975
1050000,578,156,2006
659000,187,126,1994
285000,273,117,1969
450000,204,123,2000
685000,377,161,2020
275000,158,135,1965
225000,205,96,1972
429000,147,108,1996
389000,335,148,1980
560000,286,159,2008
500000,221,136,2012
539000,900,228,1946
499000,258,162,2005
499000,527,153,1991
290000,112,123,1970
695000,506,208,1900
934000,505,196,2000
400000,355,146,1980
550000,123,116,2007
400000,171,108,1971
1450000,2290,192,1980
340000,209,75,1979
719000,700,301,1971
375000,170,106,1986
365000,243,108,1989
850000,720,129,1790
375000,307,122,1974
943000,498,223,2010
395060,133,131,1982
285000,197,90,
575000,403,111,1938
425000,109,119,2011
349000,1150,132,1921
1025000,987,227,1998
350000,139,114,1973
725000,170,189,1997
500000,77,130,1901
1250000,252,190,1936
625000,523,175,2006
725000,210,139,2013
445000,283,100,1964
300000,160,110,1961
425000,206,140,1974
675000,1965,249,1999
259000,90,122,1960
395000,119,105,1989
249000,148,100,1978
666666,510,179,2004
998000,1195,152,1974
330000,182,76,1937
465000,96,116,1929
815000,451,221,1706
315000,139,98,1998
525000,295,143,1996
485000,137,139,2000
850000,127,161,1962
292125von,142,102,2009
375000,618,140,1910
299500,152,82,1957
475000,308,110,1928
550000,289,141,1977
269000,165,98,1993
675000,333,160,1971
485000,280,131,1939
450000,222,100,1955
425000,203,121,1994
825000,166,218,1650
798000,624,121,1967
270000,157,75,1916
750000,133,140,1920
435000,431,160,1971
985000,145,143,1959
275000,158,105,1971
350000,217,117,1975
550000,593,157,1972
479000,103,133,1993
465000,648,185,1905
619000,116,139,2019
695000,135,137,2012
300000,167,120,1970
315000,249,84,1968
470000,128,139,1985
400000,93,107,2002
799000,332,167,1920
650000,131,121,1994
450000,120,94,1985
275000,118,78,1940
489000,219,146,1959
395000,235,122,1997
499000,272,157,1971
1145000,422,144,1934
290000,165,130,1972
550000,135,136,2009
985000,935,234,2008
367500,220,112,1970
700000,594,176,1980
625000,566,225,2020
149000,40,80,1980
550000,423,125,1984
595000,250,167,2017
650000,340,133,1989
298000,148,103,1983
459000,250,126,1993
375000,235,107,1992
419000,151,101,1931
389500,299,127,1991
495000,224,121,1972
325000,159,114,1983
217500,142,112,1928
400000,51,64,1870
399000,140,111,1965
500000,127,94,1960
385000,105,116,1964
999000,666,195,2006
1200000,1754,289,1969
285000,205,103,1960
849000,225,176,1930
250000,235,115,1936
1050000,467,204,1989
425000,76,78,1900
695000,573,217,2012
895000,545,187,Voor1906
675000,111,159,2022
250000,262,140,1971
250000,50,78,1928
375000,122,89,1963
895000,391,168,1994
375000,137,114,1991
360000,101,69,1968
950000,541,194,2017
675000,800,271,1978
925000,2225,204,1875
650000,1280,132,1981
289900,116,110,1975
325000,385,120,1945
389000,232,113,1982
1200000,3477,186,1960
300000,184,99,1981
269000,223,140,1985
599000,527,128,1994
779000,420,170,1997
450000,158,104,1977
345000,536,142,1970
279000,160,125,1973
275000,161,109,1982
1000000,19812,155,1908
490000,596,159,1974
1095000,975,203,2006
550000,176,130,1955
600000,124,117,2015
395000,110,109,1997
375000,309,149,1978
307500,149,111,1964
239000,162,90,1974
449000,117,117,1969
2475000,1590,306,1949
677000,852,160,2001
475000,141,106,2004
239000,230,101,1983
535000,127,133,2015
1995000,1173,311,2004
489000,307,107,1988
300000,144,120,2008
985000,553,201,1925
700000,199,167,1938
385000,558,100,1966
419000,303,109,1955
450000,127,173,1969
625000,263,154,1998
715000,491,320,1880
450000,181,109,1962
469000,67,77,1904
234000,180,91,1928
315000,145,101,1992
269000,132,100,1997
367500,179,64,1948
595000,535,145,1935
325000,321,105,1953
415000,148,117,1975
245000,137,79,1967
295000,152,120,1976
535000,447,108,1964
385000,335,102,1954
290000,162,109,1962
389000,168,125,1970
385000,300,125,1995
697500,140,277,1872
450000,164,126,1973
450000,209,138,1989
325000,420,137,1971
255000,122,108,1985
695000,740,300,1978
1089000,968,235,1995
695000,140,175,1600
575000,885,135,1932
675000,728,213,1990
1050000,1380,142,1975
650000,146,128,1987
1000000,1775,166,1975
300000,144,105,1958
270000,173,94,1938
385000,145,135,1977
400000,127,93,1989
895000,890,200,1953
250000,172,112,1971
480000,423,144,1970
350000,240,145,2007
485000,197,130,1994
498000,150,137,1996
325000,133,105,1986
700000,367,203,1975
550000,3796,160,1910
430000,151,146,1972
295000,209,108,1935
600000,350,118,1936
480000,112,119,1914
698000,262,166,1930
375000,182,89,1969
775000,673,199,1953
1078000,361,213,1926
495000,8170,172,1936
525000,152,158,2019
500000,269,142,1959
575000,265,131,1990
450000,141,118,1936
1069000,641,173,1960
950000,414,172,1930
285000,200,100,1907
350000,129,99,1911
425000,127,134,1897
295000,168,112,1973
489000,450,115,1973
1075000,1604,171,2007
350000,325,92,1965
875000,161,156,1959
350000,340,130,1737
675000,298,136,1992
265000,70,89,1900
250000,121,75,1934
575000,410,142,1996
234000,208,71,1939
250000,126,89,1983
425000,164,117,1970
265000,107,88,1938
289000,141,90,1966
225000,113,86,1927
428000,272,123,2002
750000,315,175,1930
1100000,677,289,2007
475000,430,115,1963
455000,196,117,1979
645000,465,170,1936
275000,330,164,1913
389000,208,187,1927
595000,290,136,1986
300000,269,134,1974
2250000,795,372,1936
485000,163,117,1900
1650000,1575,339,1919
475000,177,153,1998
625000,208,172,2019
350000,150,113,1970
365000,119,122,1935
585000,342,132,1992
300000,174,99,1988
475000,672,165,1934
365000,238,108,1988
525000,223,162,2006
1050000,616,221,1906
325000,258,119,1973
415000,129,134,1977
565000,163,121,1965
400000,149,218,1909
335000,52,72,2009
575000,313,151,1900
235000,713,80,1957
375000,145,121,1971
525000,289,167,1998
375000,164,121,1975
950000,720,195,1930
349000,128,130,1997
485000,133,141,1976
595000,241,127,2019
350000,87,96,1905
442500,159,117,2004
525000,138,137,2019
425000,522,119,
615000,116,157,2007
995000,818,218,2000
775000,502,151,2017
425000,259,123,1969
375000,250,94,1935
625000,897,193,1991
369500,149,104,1984
265000,153,106,1980
385000,115,137,1997
285000,246,120,1954
650000,280,189,1996
298000,318,177,1935
385000,110,126,1981
475000,531,231,1924
375000,127,90,1994
650000,478,100,1886
575000,144,104,1958
225000,252,96,1974
275000,151,78,1968
1100000,1298,329,1979
500000,278,127,2000
849000,313,115,1930
275000,137,90,1973
317500,115,92,1977
600000,161,210,2002
625000,210,151,2014
1695000,1164,291,2003
449000,495,155,1950
500000,443,140,1973
1295000,840,221,1977
515000,120,134,2016
425000,131,176,1971
625000,328,198,1998
329000,338,110,1997
2895000,1039,292,1991
300000,240,102,1970
425000,134,125,1993
950000,420,190,1984
469500,280,160,2014
525000,189,166,1977
650000,125,144,1980
315000,144,117,1977
400000,163,128,1969
320000,360,118,1973
350000,132,110,1974
285000,212,81,1995
375000,158,136,1982
230000,140,112,1974
725000,549,125,1965
340000,528,103,1957
250000,113,75,1909
350000,86,93,2021
270000,89,105,1936
425500,45,116,2007
775000,385,194,1980
439000,241,163,1978
425000,288,112,1968
650000,298,154,1966
357500,410,199,1948
699500,570,247,1939
Prijsopaanvraag,120615,183,1969
425000,119,106,2017
450000,750,87,1938
459500,357,151,2000
400000,146,109,1989
525000,132,104,1928
395000,230,94,1961
425000,75,177,1927
795000,384,166,2016
695000,127,139,2015
495000,209,111,1975
489011,167,104,1930
400000,212,120,1989
900000,367,160,1988
875000,796,222,1999
295000,125,106,1926
429000,219,122,2006
669000,950,253,1973
625000,367,137,2021
475000,147,122,1931
489000,119,169,1939
299000,132,109,1982
375000,604,108,1955
450000,371,150,1983
389500,289,88,1923
375000,141,117,1975
375000,423,150,1969
375000,181,78,1960
450000,184,130,1937
400000,235,136,1993
310000,585,147,1949
525000,303,199,1963
495000,168,130,2001
325000,197,134,1981
1375000,1550,210,1924
450000,271,120,2004
469000,330,143,1923
750000,219,130,1935
350000,100,100,2004
695000,140,137,2018
375000,285,94,1923
1225000,1089,333,1999
525000,254,157,2017
789000,1350,257,1988
425000,192,124,1987
439500,241,127,1988
1250000,4790,175,1967
395000,386,141,1930
875000,222,195,2011
665000,702,157,1978
470000,194,97,2017
399500,95,108,2012
425000,244,136,1970
259000,130,121,1980
285000,158,107,1968
559000,486,206,1979
350000,148,116,1975
525000,132,130,2015
350000,137,107,1961
350000,162,108,1972
460000,201,141,2011
415000,161,131,1976
575000,247,156,1996
339000,74,125,2008
391000,180,107,1972
525000,290,145,1970
649500,225,170,2008
325000,158,136,1981
719000,501,155,1978
450000,134,115,2021
425000,352,141,1973
425000,115,114,1995
375000,227,98,1993
298500,168,97,1994
510000,221,120,1959
319000,137,114,1977
525000,160,143,2003
485000,187,118,2003
265000,67,73,1928
497500,196,132,1969
350000,155,97,1993
619000,671,135,1991
499500,266,134,1972
325000,330,96,1937
389500,290,101,1990
410000,248,190,1933
540000,98,90,1900
350000,110,125,1974
450000,166,107,1934
325000,124,121,1992
775000,360,155,1995
300000,165,87,1986
1100000,230,169,1929
2250000,1970,326,2002
525000,267,118,2003
699000,149,180,2002
239000,136,109,1987
559000,408,141,1925
395000,69,139,2010
895000,117,126,1926
580000,288,130,1986
325000,162,112,1990
749000,295,129,1952
269500,154,115,1975
447500,238,135,1958
300000,73,83,1914
299000,226,105,
415000,141,105,1954
275000,154,126,1972
539000,286,123,1941
389000,189,104,1964
700000,918,211,1971
400000,195,120,1991
465000,157,160,1995
695000,726,152,1975
400000,453,161,1971
325000,240,100,1911
670000,175,159,2014
795000,314,182,1972
725000,267,160,2007
350000,229,118,1942
275000,128,80,1936
399000,339,91,1989
595000,160,134,1938
875000,86,178,2017
445000,83,92,1910
487500,361,135,1965
300000,133,104,1984
395000,245,133,1996
675000,322,113,1962
237500,154,89,1982
595000,139,107,1995
325000,99,117,2006
225000,234,85,1956
375000,84,73,1888
825000,528,158,1977
450000,405,240,1935
595000,548,140,1930
750000,209,175,2004
1085000,1040,189,1988
550000,257,162,1962
500000,127,110,1931
1150000,257,271,1884
389500,139,124,1982
295000,120,93,1988
700000,2067,234,1906
540000,185,149,1993
575000,268,184,1994
375000,151,114,2004
275000,62,66,1942
310000,162,79,1921
390000,137,96,1989
350000,156,115,1966
425000,397,134,1999
369000,355,104,1984
379500,333,135,1983
1150000,8300,408,1970
400000,116,133,1971
429000,123,118,1981
350000,135,116,1934
1275000,220,267,1878
449000,223,167,1990
339500,153,110,1972
295000,190,91,1911
375000,146,91,1966
350000,108,104,1983
575000,758,133,1972
575000,163,160,1997
1495000,3370,328,2002
485000,115,112,1992
450000,720,204,1971
600000,80,152,2002
449000,252,145,1984
350000,218,111,1963
395000,289,97,1936
385000,265,115,1972
320000,205,99,1968
400000,203,133,1979
489000,246,134,1978
225000,142,114,1972
925000,146,171,1961
535000,314,200,1962
275000,183,79,1950
405000,120,111,1986
579000,143,143,2005
390000,172,122,1984
350000,130,109,1970
450000,1083,171,2009
1295000,20000,550,1902
325000,203,103,1990
419000,148,107,1999
315000,320,125,1969
795000,381,170,1975
445000,116,84,2002
285000,136,108,1982
925000,1090,218,1968
319000,140,108,1995
325000,129,103,1982
395000,289,141,1990
1695000,2060,232,1974
1365000,28470,276,1974
550000,181,133,2001
799000,180,211,2003
1700000,1620,319,1973
779000,287,160,2007
460000,360,192,1995
379000,144,128,1961
3995000,214,308,1729
250000,146,95,1983
800000,580,178,2007
511000,311,158,1988
380000,190,118,1973
450000,117,115,2008
895000,1265,267,1992
459000,770,180,1972
995000,850,170,1969
249000,228,110,1979
400000,119,127,1974
570000,801,163,1975
625000,6830,202,1920
995000,1818,216,2000
350000,280,109,1980
325000,127,93,1987
599000,4060,141,1981
469000,820,135,1904
395000,75,100,1937
675000,230,164,2021
339500,280,88,1989
1195000,690,264,2009
375000,266,112,1998
335000,130,90,1978
750000,120,161,1995
325000,943,121,1958
965000,415,214,2020
397500,200,115,1992
775000,1227,145,1996
1075000,302,197,1992
469000,145,165,1931
635000,384,223,1912
849500,150,173,2020
395000,165,131,2012
3500000,3000,301,1991
370000,121,91,2000
340000,110,96,2000
495000,157,123,2005
489500,117,116,2002
